sample,reading,value
2-4,63,125695
2-4,64,125902
2-4,65,126109
2-4,66,126316
2-4,67,126500
2-4,68,126684
2-4,69,126868
2-4,70,127029
2-4,71,127213
2-4,72,127374
2-4,73,127512
2-4,74,127673
2-4,75,127834
2-4,76,127995
2-4,77,128133
2-4,78,128271
2-4,79,128409
2-4,80,128524
2-4,81,128639
2-4,82,128777
2-4,83,128915
2-4,84,129007
2-4,85,129145
2-4,86,129260
2-4,87,129398
2-4,88,129490
2-4,89,129628
2-4,90,129720
2-4,91,129835
2-4,92,129927
2-4,93,130019
2-4,94,130157
2-4,95,130272
2-4,96,130341
2-4,97,130456
2-4,98,130571
2-4,99,130663
2-4,100,130755
2-3,1,384353
2-3,2,380535
2-3,3,377798
2-3,4,375567
2-3,5,373704
2-3,6,372117
2-3,7,370714
2-3,8,369472
2-3,9,368345
2-3,10,367356
2-3,11,366436
2-3,12,365608
2-3,13,364803
2-3,14,364090
2-3,15,363423
2-3,16,362779
2-3,17,362181
2-3,18,361606
2-3,19,361100
2-3,20,360640
2-3,21,360134
2-3,22,359720
2-3,23,359306
2-3,24,358915
2-3,25,358501
2-3,26,358156
2-3,27,357788
2-3,28,357466
2-3,29,357144
2-3,30,356868
2-3,31,356615
2-3,32,356385
2-3,33,356132
2-3,34,355879
2-3,35,355626
2-3,36,355442
2-3,37,355235
2-3,38,355051
2-3,39,354890
2-3,40,354775
2-3,41,354637
2-3,42,354499
2-3,43,354384
2-3,44,354292
2-3,45,354200
2-3,46,354108
2-3,47,354039
2-3,48,353970
2-3,49,353924
2-3,50,353878
2-3,51,353855
2-3,52,353855
2-3,53,353832
2-3,54,353878
2-3,55,353832
2-3,56,353855
2-3,57,353832
2-3,58,353832
2-3,59,353878
2-3,60,353924
2-3,61,353970
2-3,62,354016
2-3,63,354108
2-3,64,354108
2-3,65,354177
2-3,66,354223
2-3,67,354269
2-3,68,354315
2-3,69,354361
2-3,70,354453
2-3,71,354499
2-3,72,354545
2-3,73,354637
2-3,74,354752
2-3,75,354821
2-3,76,354890
2-3,77,354959
2-3,78,355028
2-3,79,355143
2-3,80,355212
2-3,81,355304
2-3,82,355350
2-3,83,355442
2-3,84,355511
2-3,85,355557
2-3,86,355649
2-3,87,355695
2-3,88,355810
2-3,89,355856
2-3,90,355925
2-3,91,355971
2-3,92,356040
2-3,93,356086
2-3,94,356201
2-3,95,356247
2-3,96,356293
2-3,97,356385
2-3,98,356454
2-3,99,356500
2-3,100,356592
2-2,1,911237
2-2,2,909351
2-2,3,908132
2-2,4,906982
2-2,5,906039
2-2,6,905119
2-2,7,904291
2-2,8,903509
2-2,9,902911
2-2,10,902175
2-2,11,901577
2-2,12,901071
2-2,13,900473
2-2,14,900013
2-2,15,899530
2-2,16,899047
2-2,17,898656
2-2,18,898311
2-2,19,897920
2-2,20,897598
2-2,21,897230
2-2,22,896862
2-2,23,896586
2-2,24,896241
2-2,25,895942
2-2,26,895689
2-2,27,895390
2-2,28,895114
2-2,29,894838
2-2,30,894585
